"@type";"name";"typeCommunecter";"url.communecter";"url.api";"url.website";"address.@type";"address.streetAddress";"address.postalCode";"address.addressLocality";"address.codeInsee";"address.addressCountry";"geo.@type";"geo.latitude";"geo.longitude";"tags.0";"tags.1";"tags.2";"slug";"description";"image";"shortDescription";"tags.3";"tags.4";"email";"tags.5";"tags.6";"tags.7";"tags.8";"tags.9";"tags.10";"tags.11";"tags.12";"tags.13";"tags.14"
"Organization";"Biocoop Des Grains De Blé 2";"LocalBusiness";"https://www.communecter.org/#@biocoopDesGrainsDeBle2";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab13";"http://biocoop.fr/";"PostalAddress";"83 boulevard de la République";"33510";"ANDERNOS LES BAINS";"33005";"FR";"GeoCoordinates";"44.7417832";"-1.0980023";"Vrac";"Épicerie";"Produits biologiques";"biocoopDesGrainsDeBle2";" ";"https://www.communecter.org/upload/communecter/organizations/594e0fc240bb4eba4a87ab13/logo-superm-P.png";"Magasin bio";"Accepte contenant";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop";"LocalBusiness";"https://www.communecter.org/#@biocoop22";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab17";"http://biocoop.fr/";"PostalAddress";"5 chemin de Peirrascas";"30140";"ANDUZE";"30010";"FR";"GeoCoordinates";"44.0545668";"3.9857082";"Vrac";"Épicerie";"Produits biologiques";"biocoop22";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Naturéo";"LocalBusiness";"https://www.communecter.org/#@natureo11";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab1b";"www.natureo-bio.fr/nos-magasins";"PostalAddress";"CC Grand Maine 1 rue du Grand Launay";"49000";"ANGERS";"49007";"FR";"GeoCoordinates";"47.4683538";"-0.5954652";"Vrac";"Épicerie";"Produits biologiques";"natureo11";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Famille Mary";"LocalBusiness";"https://www.communecter.org/#@familleMary9";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab1f";"https://www.famillemary.fr";"PostalAddress";"74 rue Plantagenêt";"49000";"ANGERS";"49007";"FR";"GeoCoordinates";"47.4733377";"-0.5553726";"Vrac";"Épicerie";"Miel";"familleMary9";"Épicerie spécialisée (miel confiture, pollen, propolis)";" ";" ";"Cosmétique";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Pirmeur Saveurs du Primeur";"LocalBusiness";"https://www.communecter.org/#@pirmeurSaveursDuPrimeur";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab23";" ";"PostalAddress";"6 Place Hérault";"49000";"ANGERS";"49007";"FR";"GeoCoordinates";"47.4753555";"-0.549706";"Vrac";"Épicerie";"Produits biologiques";"pirmeurSaveursDuPrimeur";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"L'épicerie 2 Pauline";"LocalBusiness";"https://www.communecter.org/#@lepicerie2Pauline";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab27";"https://www.facebook.com/Lépicerie-2-Pauline-181875305501825";"PostalAddress";"22 rue St Julien";"49000";"ANGERS";"49007";"FR";"GeoCoordinates";"47.4699261";"-0.5513979";"Vrac";"Épicerie";"Accepte Contenant";"lepicerie2Pauline";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Saveurs du primeur";"LocalBusiness";"https://www.communecter.org/#@saveursDuPrimeur";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab2b";"http://www.saveursduprimeur-angers.com/";"PostalAddress";"6 Place Hérault";"49000";"ANGERS";"49007";"FR";"GeoCoordinates";"47.4753555";"-0.549706";"Vrac";"Épicerie";"Accepte Contenant";"saveursDuPrimeur";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Doyenné";"LocalBusiness";"https://www.communecter.org/#@biocoopDoyenne";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab33";"http://biocoop.fr/";"PostalAddress";"50 Boulevard du Doyenné";"49000";"ANGERS";"49007";"FR";"GeoCoordinates";"47.4870628";"-0.5390178";"Vrac";"Épicerie";"Produits biologiques";"biocoopDoyenne";" ";" ";" ";"Accepte Contenant";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Foch";"LocalBusiness";"https://www.communecter.org/#@biocoopFoch";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab37";"http://biocoop.fr/";"PostalAddress";"59 boulevard Foch";"49000";"ANGERS";"49007";"FR";"GeoCoordinates";"47.4684496";"-0.5505478";"Vrac";"Épicerie";"Produits biologiques";"biocoopFoch";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Parme";"LocalBusiness";"https://www.communecter.org/#@biocoopParme";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab3b";"http://biocoop.fr/";"PostalAddress";"ZA de Parme";"64600";"ANGLET";"64024";"FR";"GeoCoordinates";"43.472797";"-1.534319";"Vrac";"Épicerie";"Produits biologiques";"biocoopParme";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio c’ Bon";"LocalBusiness";"https://www.communecter.org/#@bioCBon15";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab3f";"http://www.bio-c-bon.eu/fr";"PostalAddress";"83 rue Hergé";"16000";"ANGOULEME";"16015";"FR";"GeoCoordinates";"45.6487151";"0.156925644195042";"Vrac";"Épicerie";"Produits biologiques";"bioCBon15";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Regain Sud";"LocalBusiness";"https://www.communecter.org/#@biocoopRegainSud";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab43";"http://biocoop.fr/";"PostalAddress";"ZAC des Fourneaux rue Albert Denis";"17690";"ANGOULINS";"17010";"FR";"GeoCoordinates";"46.104641";"-1.099744";"Vrac";"Épicerie";"Produits biologiques";"biocoopRegainSud";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Aquarius";"LocalBusiness";"https://www.communecter.org/#@biocoopAquarius";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab47";"http://biocoop.fr/";"PostalAddress";"6 rue du 11è BCA";"74000";"ANNECY";"74010";"FR";"GeoCoordinates";"45.9123887";"6.116493";"Vrac";"Épicerie";"Produits biologiques";"biocoopAquarius";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Aquarius La Paix";"LocalBusiness";"https://www.communecter.org/#@biocoopAquariusLaPaix";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab4b";"http://biocoop.fr/";"PostalAddress";"10 rue de la Paix";"74000";"ANNECY";"74010";"FR";"GeoCoordinates";"45.9045102";"6.1311871";"Vrac";"Épicerie";"Produits biologiques";"biocoopAquariusLaPaix";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"L’eau Vive";"LocalBusiness";"https://www.communecter.org/#@leauVive23";"https://www.communecter.org/api/organization/get/id/594e0fc240bb4eba4a87ab4f";"www.eau-vive.fr";"PostalAddress";"4 avenue des Romains";"74000";"ANNECY";"74010";"FR";"GeoCoordinates";"45.9094758";"6.1205921";"Vrac";"Épicerie";"Produits biologiques";"leauVive23";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
